year,float_id,avg_latitude,avg_longitude,avg_salinity
2010.0,2900558,12.933803643724728,61.65671153846192,35.68018069331986
2010.0,2900559,1.7157105263157826,65.19508147773286,35.18614036437246
2010.0,2900562,0.2597449432659084,52.424861864825154,35.15570589047852
2010.0,2900563,7.938581725888348,53.20372588832518,35.39732344162436
2010.0,2900566,-0.6328454320987631,84.80221777777771,35.06633272098768
2010.0,2900570,-2.4102424691357967,94.86299111111076,34.900894814814784
2010.0,2900754,9.035792418772585,61.79170637785915,35.40090317087846
2010.0,2900755,16.972532170775583,90.27432892363197,34.63811120865903
2010.0,2900756,17.004822875816966,93.22150457516389,34.569243346405266
2010.0,2900759,-3.7507603748326983,84.45535542168601,34.95283409638552
2010.0,2900760,-10.035540376106166,76.85848727876147,34.757385304203524
2010.0,2900761,-12.24370933333327,61.93130933333299,34.915001199999985
2010.0,2900762,-2.5580270270270287,78.79056756756665,35.00885014340874
2010.0,2900764,5.382463590883816,93.63446414674854,34.764980016675985
2010.0,2900768,11.969864077670023,83.73303606102651,34.65552173370322
2010.0,2900769,18.134395245992017,64.28296462133788,35.76702241569923
2010.0,2900770,15.08867716970721,66.54377556661115,35.6502602708679
2010.0,2900771,13.320002208724404,69.33083324130321,35.51688758144667
2010.0,2900773,14.47365788468881,64.21979343260806,35.763168285605104
2010.0,2900774,11.19266390270879,66.1792968490884,35.48923771697067
2010.0,2900776,8.335822920811689,68.93153044170313,35.39441188619178
2010.0,2900777,8.84827027027018,68.6253243243244,35.32790562051845
2010.0,2900780,4.254595008508205,68.91244639818473,35.166817872943824
2010.0,2900781,4.399000000000014,62.93963888888816,35.27566229264475
2010.0,2900782,6.676570344424999,64.29023350846508,35.289135329830714
2010.0,2900877,11.546388888889052,59.14655555555574,35.491659444444494
2010.0,2900880,3.3462296718972926,70.22171754636223,35.03729696148357
2010.0,2900881,3.5405000000000246,64.66205555555628,35.171384019274385
2010.0,2900882,10.794510994764314,84.69584816753968,34.83814612565437
2010.0,2900883,9.887286967741902,87.72449703225932,34.83394064516129
2010.0,2901073,10.260253546099456,83.44340189125377,34.74526477541366
2010.0,2901074,20.292738636363644,91.59278787878812,33.37611897727273
2010.0,2901076,3.938244067796616,67.92071751412463,35.18265033333335
2010.0,2901079,-3.0675256764219,70.10086471562732,35.02207077857536
2010.0,2901080,-2.3324811738649087,73.98707308970019,35.03291174418602
2010.0,2901082,-0.6188514469453407,60.919180064307774,35.13544677170414
2010.0,2901083,2.8810147329650215,89.3300303867405,34.91634730662982
2010.0,2901084,2.469630123927592,87.46307959961975,34.95474342230694
2010.0,2901085,-0.4784316991908596,61.62401094716809,35.16313257972396
2010.0,2901088,-13.673001828153621,78.65180987202956,34.70399921389398
2010.0,2901089,-12.778229981377978,57.9148272811919,34.93192597765366
2010.0,2901090,2.565512137077544,81.0459504997601,35.02611865778208
